no;title;author;journal;number;cites;year;cid;pubid;id
1;Fuzzy Multi-Attribute Decision Making (Fuzzy MADM);S Kusumadewi, S Hartati, A Harjoko, R Wardoyo;Yogyakarta: Graha Ilmu;78-79;1087;2006;6007622017498764110;nRpfm8aw39MC;IiJw8-8AAAAJ
2;Time complexity analysis of support vector machines (SVM) in LibSVM;A Abdiansah, R Wardoyo;International journal computer and application;;47;2015;1853560432300773218;blknAaTinKkC;IiJw8-8AAAAJ
3;Retantyo Wardoyo, 2006;S Kusumadewi, S Hartati, A Harjoko;Fuzzy Multi-Attribute Decision Making (Fuzzy MADM);;26;#N/A;8841016958718929740;7BrZ7Jt4UNcC;IiJw8-8AAAAJ
4;Electre methods in solving group decision support system bioinformatics on gene mutation detection simulation;S Hartati, R Wardoyo, A Harjoko, J Palembang-prabumulih, O Ilir;;;24;2011;6676762355449676720;FiytvqdAVhgC;IiJw8-8AAAAJ
5;Perancangan dan implementasi webgis pariwisata kabupaten Sumba Timur;AR Tanaamah, R Wardoyo;Jurnal informatika;9 (2), 150-158;18;2010;15984816140440331389;u-x6o8ySG0sC;IiJw8-8AAAAJ
6;A reputation based trust model to seek judgment in participatory group decision making;V Tundjungsari, JE Istiyanto, E Winarko, R Wardoyo;;2010 International Conference on Distributed Frameworks for Multimedia …;12;2010;12651487506916841035;9yKSN-GCB0IC;IiJw8-8AAAAJ
7;Feature selection of the combination of porous trabecular with anthropometric features for osteoporosis screening;EI Sela, S Hartati, A Harjoko, R Wardoyo, M Mudjosemedi;International Journal of Electrical and Computer Engineering;5 (1), 78;11;2015;8034124979066934966;Wp0gIr-vW9MC;IiJw8-8AAAAJ
8;Modularity index metrics for java-based open source software projects;AWR Emanuel, R Wardoyo, JE Istiyanto, K Mustofa;arXiv preprint arXiv:;:1309.5689;11;2013;5696703819912918362;ufrVoPGSRksC;IiJw8-8AAAAJ
9;ELECTRE-entropy method in group decision support system modelto gene mutation detection;S Hartati, R Wardoyo, A Harjoko;International Journal of Advanced Research in Artificial Intelligence;1 (1 …;11;2012;1144742468247912460;W7OEmFMy1HYC;IiJw8-8AAAAJ
10;Improving the prediction accuracy of multicriteria collaborative filtering by combination algorithms;E Winarko, S Hartati, R Wardoyo;Int. J. Adv. Comput. Sci. App;52 (4), 52-58;10;2014;17146762902572717777;Tyk-4Ss8FVUC;IiJw8-8AAAAJ
11;Review of image compression and encryption techniques;E Setyaningsih, R Wardoyo;International Journal of Advanced Computer Science and Applications;8 (2), 83-94;9;2017;9034882766679068833;DJbcl8HfkQkC;IiJw8-8AAAAJ
12;E-Government Interoperability Framework based on a Real Time Architecture;AP Widodo, JE Istiyanto, R Wardoyo, P Santoso;International Journal of Computer Science Issues (IJCSI);10 (1), 469;9;2013;9312618199807150085;hqOjcs7Dif8C;IiJw8-8AAAAJ
13;E-Participation Modeling and Developing with Trust for Decision Making Supplement Purpose;V Tundjungsari, JE Istiyanto, E Winarko, R Wardoyo;;;9;2011;11272731348109882439;LkGwnXOMwfcC;IiJw8-8AAAAJ
14;Retantyo Wardoyo;S Kusumadewi, S Hartati, A Harjoko;Fuzzy Multi-Attribute Decision Making (Fuzzy MADM), Edisi Pertama …;;9;2006;4421260991548863992;PaBasH6fAo0C;IiJw8-8AAAAJ
15;Survey: Models and Prototypes of Schema Matching.;E Sutanta, R Wardoyo, K Mustofa, E Winarko;International Journal of Electrical & Computer Engineering;(2088-8708) 6 (3);8;2016;4743808678516622797;qxL8FJ1GzNcC;IiJw8-8AAAAJ
16;Aplikasi Metode Fuzzy Multi-Attribute Decision Making Berbasis Web dalam Pemilihan Calon Kepala Daerah di Indonesia;MM Yusro, R Wardoyo;IJCCS (Indonesian Journal of Computing and Cybernetics Systems);7 (1), 101-110;8;2013;16093731830542606377;roLk4NBRz8UC;IiJw8-8AAAAJ
17;Batik classification with artificial neural network based on texture-shape feature of main ornament;AA Kasim, R Wardoyo, A Harjoko;International Journal of Intelligent Systems and Applications;9 (6), 55;7;2017;2113766442487582956;OR75R8vi5nAC;IiJw8-8AAAAJ
18;Penerapan Fuzzy Multi Criteria Decision Making (FMCDM) Untuk Diagnosis Penyakit Tropis;R Rosnelly, R Wardoyo;Seminar Nasional Informatika (SEMNASIF);1 (4);7;2015;5535076823407615122;WF5omc3nYNoC;IiJw8-8AAAAJ
19;Modifikasi Algoritma Genetika Untuk Penyelesaian Permasalahan Penjadwalan Pelajaran Sekolah;R Erama, R Wardoyo;IJCCS (Indonesian Journal of Computing and Cybernetics Systems);8 (2), 111-120;7;2014;11176262452570208988;WA5NYHcadZ8C;IiJw8-8AAAAJ
20;Plant recognition using stereo leaf image using gray-level co-occurrence matrix;H Syahputra, A Harjoko, R Wardoyo, R Pulungan;;;7;2014;17408680970341168220;kNdYIx-mwKoC;IiJw8-8AAAAJ
21;Segmentation on the dental periapical X-Ray images for osteoporosis screening;EI Sela, S Hartati, A Harjoko, R Wardoyo, MS Munakhir;(IJACSA) International Journal of Advanced Computer Science and Applications …;;7;2013;11379299478642956561;IjCSPb-OGe4C;IiJw8-8AAAAJ
22;Development of Copeland score methods for determine group decisions;E Zuhairi, S Hartati, R Wardoyo, A Harjoko;International Journal of Advanced Computer Science and Aplication (IJACSA);4 …;7;2013;5865617814097305174;UebtZRa9Y70C;IiJw8-8AAAAJ
23;Optimization CBIR using k-means clustering for image database;J Rejito, R Wardoyo, S Hartati, A Harjoko;International Journal of Computer Science and Information Technologies;3 (4 …;7;2012;510048054219970394;Y0pCki6q_DkC;IiJw8-8AAAAJ
24;Enhancing participation process in public decision making with MCDA and trust modeling;V Tundjungsari, JE Istiyanto, E Winarko, R Wardoyo;International Journal of Computer Science Issues (IJCSI);8 (2), 53;7;2011;6915074810886337426;UeHWp8X0CEIC;IiJw8-8AAAAJ
25;Success factors of OSS projects from sourceforge using Datamining Association Rule;AWR Emanuel, R Wardoyo, JE Istiyanto, K Mustofa;;2010 International Conference on Distributed Frameworks for Multimedia …;7;2010;15531338877064574218;zYLM7Y9cAGgC;IiJw8-8AAAAJ
26;Sistem Pendukung Keputusan penentuan penerima beasiswa:: Studi kasus pada TPSDM Propinsi Gorontalo;A Lahinta;Universitas Gadjah Mada;;7;2007;3218613922462162713;YsMSGLbcyi4C;IiJw8-8AAAAJ
27;Perbandingan Algoritma Nearest Neighbour, C4. 5 dan LVQ untuk Klasifikasi Kemampuan Mahasiswa;M Fakhrurrifqi, R Wardoyo;IJCCS (Indonesian Journal of Computing and Cybernetics Systems);7 (2), 145-154;6;2013;5632128007840878189;CHSYGLWDkRkC;IiJw8-8AAAAJ
28;Personalized Online Learning with Ontological Approach;BR Suteja, S Guritno, R Wardoyo, A Ashari;International Journal of Computer Science Issues (IJCSI);7 (6), 368;6;2010;6792667590568798346;qjMakFHDy7sC;IiJw8-8AAAAJ
29;Kriptosistem kunci asimetrik menggunakan algoritma genetika pada data citra;R Palupi;Universitas Gadjah Mada;;6;2008;3065192967508716400;7H_MAutzIkAC;IiJw8-8AAAAJ
30;Selection of Most Appropriate Backpropagation Training Algorithm in Data Pattern Recognition;H Mustafidah, S Hartati, R Wardoyo, A Harjoko;arXiv preprint arXiv:;:1409.4727;5;2014;14584085308936335930;j8SEvjWlNXcC;IiJw8-8AAAAJ
31;Sistem Pakar Menggunakan Teorema Bayes untuk Mendiagnosa Penyakit Kehamilan;AK Nugroho, R Wardoyo;BIMIPA;23 (3), 247-254;5;2013;17178760821476285707;IWHjjKOFINEC;IiJw8-8AAAAJ
32;Achieving consensus with individual centrality approach;V Tundjungsari, JE Istiyanto, E Winarko, R Wardoyo;arXiv preprint arXiv:;:1203.5570;5;2012;9577507899120482752;0EnyYjriUFMC;IiJw8-8AAAAJ
33;Implementasi protokol diffie-hellman dan algoritma RC4 untuk keamanan pesan SMS;D Hendarsyah, R Wardoyo;IJCCS (Indonesian Journal of Computing and Cybernetics Systems);5 (1);5;2011;8661862260126354922;eQOLeE2rZwMC;IiJw8-8AAAAJ
34;Differential diagnosis knowledge building by using CUC-C4. 5 framework;S Hartati, R Wardoyo, A Harjoko;Journal of Computer Science;6 (2), 180;5;2010;5888471615458214557;_FxGoFyzp5QC;IiJw8-8AAAAJ
35;Integrated AHP, Profile Matching, and TOPSIS for selecting type of goats based on environmental and financial criteria;AKS Clara Hetty Primasari, Retantyo Wardoyo;International Journal of Advances in Intelligent Informatics;4 (1), 28-39;4;2018;5076622443338933271;WC23djZS0W4C;IiJw8-8AAAAJ
36;Group Decision Support System Determination Of Best Employee Using Topsis And Borda;MA Budhi, R Wardoyo;IJCCS (Indonesian Journal of Computing and Cybernetics Systems);11 (2), 165-176;4;2017;18316069149545975420;LhH-TYMQEocC;IiJw8-8AAAAJ
37;Fuzzy-Klassen model for development disparities analysis based on gross regional domestic product sector of a region;T Munandar, R Wardoyo;arXiv preprint arXiv:;:1606.03191;4;2016;16267787695292265298;Y5dfb0dijaUC;IiJw8-8AAAAJ
38;Fake smile detection using linear support vector machine;IGA Gunadi, A Harjoko, R Wardoyo, N Ramdhani;;2015 International Conference on Data and Software Engineering (ICoDSE), 103-107;4;2015;13342583039556007736;UHK10RUVsp4C;IiJw8-8AAAAJ
39;A review on fuzzy multi-criteria decision making land clearing for oil palm plantation;H Hamdani, R Wardoyo;International Journal of Advances in Intelligent Informatics;1 (2), 75-83;4;2015;4433303454058935202;_kc_bZDykSQC;IiJw8-8AAAAJ
40;Prediction of Test Items Validity Using Artificial Neural Network;H Mustafidah, S Hartati, R Wardoyo, A Harjoko;Improving The Quality of Education to Face The Impact of Technology;;4;2013;1766256797103433576;LgRImbQfgY4C;IiJw8-8AAAAJ
41;Personalization Sistem E-Learning Berbasis Ontology;BR Suteja, S Guritno, R Wardoyo, A Ashari;Makara Journal of Science;;4;2011;1038839514543116423;ULOm3_A8WrAC;IiJw8-8AAAAJ
42;A Method of Weight Update in Group Decision-Making to Accommodate the Interests of All the Decision Makers;H Hamdani, R Wardoyo, K Mustofa;International Journal of Intelligent Systems and Applications;9 (8), 1;3;2017;13725947962590954965;P7Ujq4OLJYoC;IiJw8-8AAAAJ
43;The complexity calculation for group decision making using TOPSIS algorithm;Hamdani, R Wardoyo;AIP conference proceedings;1755 (1), 070007;3;2016;11519241111244630160;Mojj43d5GZwC;IiJw8-8AAAAJ
44;A hybrid model schema matching using constraint-based and instance-based;E Sutanta, R Wardoyo, K Mustofa, E Winarko;International Journal of Electrical and Computer Engineering;6 (3), 1048;3;2016;3749905371140858929;3s1wT3WcHBgC;IiJw8-8AAAAJ
45;The Use of KPI in Group Decision Support Model of ICT Projects Performance Evaluation;H Setiawan, JE Istiyanto, R Wardoyo, P Santoso;Proceeding of the Electrical Engineering Computer Science and Informatics;2 …;3;2015;14517798412265906979;tH6gc1N1XXoC;IiJw8-8AAAAJ
46;Penentuan arsitektur jaringan syaraf tiruan backpropagation (bobot awal dan bias awal) menggunakan algoritma genetika;CD Suhendra, R Wardoyo;IJCCS (Indonesian Journal of Computing and Cybernetics Systems);9 (1), 77-88;3;2015;3436391878114797816;g5m5HwL7SMYC;IiJw8-8AAAAJ
47;Pemanfaatan database kependudukan untuk aplikasi E-GOV dan sistem informasi di Pemkab Bantul;E Sutanta, R Wardoyo;Jurnal Riset Daerah;11;3;2012;12911307055624058052;5nxA0vEk-isC;IiJw8-8AAAAJ
48;The Schedule of Optimal Fuzzy Controller Gain with Multi Model Concept for a Solar Energy Wood Drying Process Kiln;Z Situmorang, R Wardoyo, S Hartati, JE Istiyanto;International Journal Optimization dan Quality Manajemen;15 (2);3;2009;6115424424294454089;F9fV5C73w3QC;IiJw8-8AAAAJ
49;Perbandingan metode nearest neighbor dan algoritma c4. 5 untuk menganalisis kemungkinan pengunduran diri calon mahasiswa di stmik amikom yogyakarta;SH Kusrini, R Wardoyo, A Harjoko;Jurnal DASI;10 (1);3;2009;4889022157795165288;OTTXONDVkokC;IiJw8-8AAAAJ
50;Sistem penjadwalan kuliah dengan menggunakan rule based expert system:: Studi kasus STMIK Bina Darma Palembang;R Delima, R Wardoyo;Text;;3;2003;215170528849628977;0izLItjtcgwC;IiJw8-8AAAAJ
51;Decision-Making Model for Student Assessment by Unifying Numerical and Linguistic Data.;S Andayani, S Hartati, R Wardoyo, D Mardapi;International Journal of Electrical & Computer Engineering;(2088-8708) 7 (1);2;2017;17486208225611653038;mlAyqtXpCwEC;IiJw8-8AAAAJ
52;Feature extraction methods for batik pattern recognition: a review;AA Kasim, R Wardoyo, A Harjoko;AIP Conference Proceedings;1755 (1), 070008;2;2016;14034794742816244232;tKAzc9rXhukC;IiJw8-8AAAAJ
53;AGENT MODEL DEVELOPMENT BY USING ONTOLOGY IN UNIVERSITY'S ARCHIVING.;M Hasbi, R Wardoyo, JE Istiyanto, K Mustofa;Journal of Theoretical & Applied Information Technology;87 (3);2;2016;5030605660911516058;bFI3QPDXJZMC;IiJw8-8AAAAJ
54;The Group Decision Support System to Evaluate the ICT Project Performance Using the Hybrid Method of AHP, TOPSIS and Copeland Score;H Setiawan, JE Istiyanto, R Wardoyo, P Santoso;International Journal of Advanced Computer Science and Applications;7 (4 …;2;2016;3282682348958512715;2P1L_qKh6hAC;IiJw8-8AAAAJ
55;A Formal Proof of Correctness of Construct Association from PROMELA to Java.;R Wardoyo, BH Widjaja, R Pulungan;IAENG International Journal of Computer Science;42 (4);2;2015;12436062098272753633;9vf0nzSNQJEC;IiJw8-8AAAAJ
56;A HYBRID MULTI-ATTRIBUTE DECISION MAKING FOR ELECTRICIAN SELECTION BASED ON AHP, SAW AND TOPSIS.;W Hadikurniawati, R Wardoyo;Journal of Theoretical & Applied Information Technology;77 (1);2;2015;13430271960994423876;JQOojiI6XY0C;IiJw8-8AAAAJ
57;Case-based Reasoning for Selecting Study Program in Senior Hight School;S Mulyana, S Hartati, R Wardoyo, E Winarko;International Journal of Advanced Computer Science and Applications (IJACSA …;;2;2015;7535648878706319363;HoB7MX3m0LUC;IiJw8-8AAAAJ
58;Kajian Model dan Prototipe Schema Matching;E Sutanta, K Mustofa, R Wardoyo, E Winarko;SNATi;;2;2015;2206032007422917116;3NQIlFlcGxIC;IiJw8-8AAAAJ
59;Fuzzy C means for image batik clustering based on spatial features;AA Kasim, R Wardoyo, A Harjoko;International Journal of Computer Applications;975, 8887;2;2015;2259051550087289355;YFjsv_pBGBYC;IiJw8-8AAAAJ
60;Batik Image Classification Rule Extraction using Fuzzy Decision Trees;AA Kasim, R Wardoyo;ISICO;2013 2013;2;2013;14499324972204824286;35r97b3x0nAC;IiJw8-8AAAAJ
61;MODEL INTEGRASI ANTAR SISTEM E-GOV DENGAN MEMANFAATKAN DATABASE KEPENDUDUKAN NASIONAL;E Sutanta, R Wardoyo, K Mustofa, E Winarko;Jurnal Teknologi;5 (1), 76-84;2;2012;3858883737350833674;HGTzPopzzJcC;IiJw8-8AAAAJ
62;Penggunaan Algoritma C4. 5 Dan Logika Fuzzy Untuk Klasifikasi Talenta Karyawan (Studi Kasus: Politeknik Negeri Bali);NIGAPH SAPTARINI;Universitas Gadjah Mada;;2;2012;16250027021589896304;uWiczbcajpAC;IiJw8-8AAAAJ
63;IMPLEMENTASI ALGORITMA PELATIHAN LEVENBERG MARQUARDT DAN BAYES REGULARISASI PADA JARINGAN SYARAF TIRUAN UNTUK PREDIKSI CURAH HUJAN (Studi Kasus: Stasiun pengamatan curah hujan …;Y Lisa;Universitas Gadjah Mada;;2;2012;14255200315515232350;2KloaMYe4IUC;IiJw8-8AAAAJ
64;Statistical Analysis on Software Metrics Affecting Modularity in Open Source Software;AWR Emanuel, R Wardoyo, JE Istiyanto, K Mustofa;International Journal of Computer Science & Information Technology (IJCSIT …;;2;2011;16580540000918592500;MXK_kJrjxJIC;IiJw8-8AAAAJ
65;Database server access framework;B Sugiantoro, R Wardoyo, S Hartati, JE Istiyanto;Proceeding of the;3rd International Conference on Information and …;2;2010;17044751094539697475;3fE2CSJIrl8C;IiJw8-8AAAAJ
