no;title;author;journal;number;cites;year;cid;pubid;id
1;Analisis kebijakan publik: konsep, teori dan aplikasi;AG Subarsono;Pustaka Pelajar;;1171;2005;15994783831776943487;WF5omc3nYNoC;mP3LsGkAAAAJ
2;Pelayanan Publik yang Efisien, Responsif, dan Non-Partisan;AG Subarsono;yogyakarta: gajah Mada university press;;15;2005;2873269967642368709;Tyk-4Ss8FVUC;mP3LsGkAAAAJ
3;Kebijakan publik dan pemerintahan kolaboratif: isu-isu kontemporer;A Subarsono;Penerbit Gava Media;;14;2016;11359308069309739664;IjCSPb-OGe4C;mP3LsGkAAAAJ
4;Analisis Kebijakan: Konsep, Teori dan Aplikasi;AG Subarsono;Pustaka. Yogyakarta;;10;2005;15793710393053734583;ULOm3_A8WrAC;mP3LsGkAAAAJ
5;Reposisi Lembaga Perpajakan;AG Subarsono;Jurnal Kebijakan dan Administrasi Publik;8 (2004);2;2004;4114225823907688756;2osOgNQ5qMEC;mP3LsGkAAAAJ
6;Pelayanan Publik yang Efisien, Responsif, dan Non Partisan. Dalam A. Dwiyanto;AG Subarsono;Mewujudkan Good Governance melalui Pelayanan Publik;;1;2005;2282056585834480872;d1gkVwhDpl0C;mP3LsGkAAAAJ
7;IMPLEMENTASI KEBIJAKAN PEMBANGUNAN RUMAH LAYAK HUNI DENGAN PENDEKATAN HIBRIDA DI KABUPATEN SUPIORI PROVINSI PAPUA;OFS Kawer, M Baiquni, YT Keban, A Subarsono;Sosiohumaniora;20 (3), 245-253;0;2018;#N/A;Zph67rFs4hoC;mP3LsGkAAAAJ
8;PERAN CSR DALAM MEMBENTUK PERSEPSI MASYARAKAT (Studi Kasus Rencana Pembangunan Pabrik Indocement di Pati);DADI PERKASA;Universitas Gadjah Mada;;0;2018;#N/A;8k81kl-MbHgC;mP3LsGkAAAAJ
9;'Karet, Tauke, Petani dan Buruh Sadap'Analisis Ekonomi Politik Tata Niaga Karet di Kabupaten Batanghari;M SAADAH, A Subarsono;Universitas Gadjah Mada;;0;2017;#N/A;UebtZRa9Y70C;mP3LsGkAAAAJ
10;PERSEPSI GURU TERHADAP KEBIJAKAN SERTIFIKASI GURU DI KABUPATEN SAMOSIR;RA SAGALA;Universitas Gadjah Mada;;0;2017;#N/A;roLk4NBRz8UC;mP3LsGkAAAAJ
11;STRATEGI PEMERINTAH DAERAH DALAM PENGEMBANGAN UMKM KABUPATEN KULON PROGO;L PRATIWI;Universitas Gadjah Mada;;0;2016;#N/A;MXK_kJrjxJIC;mP3LsGkAAAAJ
12;ANALISIS STRATEGI KEBIJAKAN FISKAL PEMERINTAH KOTA TERNATE DALAM MENINGKATKAN PENDAPATAN ASLI DAERAH [PAD] KOTA TERNATE DI SEKTOR PAJAK DAERAH UNTUK MENGATASI DEFISIT FISKAL …;S SAMUDA, AG Subarsono;Universitas Gadjah Mada;;0;2016;#N/A;5nxA0vEk-isC;mP3LsGkAAAAJ
13;Analisis Peran dan Tahapan yang Dilakukan Pemangku Kepentingan dalam Pemberdayaan Premanisme Di Kabupaten Wonosobo;V PUTRI, AG Subarsono, MA M SI;Universitas Gadjah Mada;;0;2016;#N/A;0EnyYjriUFMC;mP3LsGkAAAAJ
14;KEPEMILIKAN TANAH OLEH WARGA NEGARA ASING (WNA) MELALUI PERJANJIAN NOMINEE (STUDI KASUS: DESA CANGGU, KABUPATEN BADUNG, PROVINSI BALI);NIP MIRAYANI;Universitas Gadjah Mada;;0;2016;#N/A;Se3iqnhoufwC;mP3LsGkAAAAJ
15;Implementasi Pengembangan Kawasan Agropolitan Bagelen di Kabupaten Purworejo;M ASRININGTYAS, AG Subarsono;Universitas Gadjah Mada;;0;2016;#N/A;eQOLeE2rZwMC;mP3LsGkAAAAJ
16;Analisis Kualitas Pelayanan Publik Perusahaan Daerah Air Minum (PDAM) Tirtamarta Kota Yogyakarta;AG Subarsono;Universitas Gadjah Mada;;0;2016;#N/A;UeHWp8X0CEIC;mP3LsGkAAAAJ
17;STRATEGI PENGEMBANGAN PULAU MARATUA, KABUPATEN BERAU, KALIMANTAN TIMUR SEBAGAI DESTINASI PARIWISATA;MF REZZA;Universitas Gadjah Mada;;0;2015;#N/A;Y0pCki6q_DkC;mP3LsGkAAAAJ
18;KINERJA DAERAH KABUPATEN/KOTA SE-PROVINSI SUMATERA BARAT TAHUN 2005-2013 (Tinjauan PDRB-PK, APBD, RKKD dan IPM);K ZAINI;Universitas Gadjah Mada;;0;2015;#N/A;zYLM7Y9cAGgC;mP3LsGkAAAAJ
19;Fungsi Kepemimpinan Camat Dalam Pemerintahan Lokal: Studi Kasus di Kecamatan Sukorejo, Kabupaten Kendal;A Subarsono;Text;;0;2014;#N/A;3fE2CSJIrl8C;mP3LsGkAAAAJ
20;Peran Pemerintah dalam Mendorong Perkembangan Usaha Mikro Kecil dan Menengah (UMKM): Kasus Usaha Mikro Kecil dan Menengah (UMKM) Mebel di Kabupaten Pati;AG Subarsono;Text;;0;2014;#N/A;u-x6o8ySG0sC;mP3LsGkAAAAJ
21;The impact of decentralisation policy on small business in Indonesia: a study of politics in Bantul District, Yogyakarta and Gianyar District, Bali;A Subarsono;Curtin University;;0;2012;#N/A;KlAtU1dfN6UC;mP3LsGkAAAAJ
22;Sosok Pemimpin Sipil Lokal Masa Depan;AG Subarsono;Interaksi: Jurnal Politik dan Manajemen Publik;1 (2006);0;2006;#N/A;9yKSN-GCB0IC;mP3LsGkAAAAJ
23;Pelayanan yang Berorientasi Pelanggan di RSUD Propinsi Riau= Customer Oriented Service In The Public Local Hospital of Riau Province;B Hasnul, M Darwin, A Subarsono;Sosiosains;17 (2004);0;2004;#N/A;LkGwnXOMwfcC;mP3LsGkAAAAJ
24;Analisis Kinerja Pelayanan Publik Pada Unit Pelayanan Terpadu Satu Atap Kota Yogyakarta= Analysis of Performance of Public Service at Unit of One Roof Integrated Services in …;Y Kimsean, YT Keban, A Subarsono;Sosiosains;17 (2004);0;2004;#N/A;YsMSGLbcyi4C;mP3LsGkAAAAJ
