no;title;author;journal;number;cites;year;cid;pubid;id
1;Dogs cloned from adult somatic cells;BC Lee, MK Kim, G Jang, HJ Oh, F Yuda, HJ Kim, MH Shamim, JJ Kim, ...;Nature;436 (7051), 641;498;2005;15291692319435264756;_kc_bZDykSQC;2eOI0ncAAAAJ
2;Endangered wolves cloned from adult somatic cells;MK Kim, G Jang, HJ Oh, F Yuda, HJ Kim, WS Hwang, MS Hossein, JJ Kim, ...;Cloning and Stem Cells;9 (1), 130-137;159;2007;7623928257133159197;Zph67rFs4hoC;2eOI0ncAAAAJ
3;Birth of viable female dogs produced by somatic cell nuclear transfer;G Jang, MK Kim, HJ Oh, MS Hossein, YH Fibrianto, SG Hong, JE Park, ...;Theriogenology;67 (5), 941-947;89;2007;1189994270783676580;hFOr9nPyWt4C;2eOI0ncAAAAJ
4;Effects of estradiol-17β and progesterone supplementation on in vitro nuclear maturation of canine oocytes;MK Kim, YH Fibrianto, HJ Oh, G Jang, HJ Kim, KS Lee, SK Kang, BC Lee, ...;Theriogenology;63 (5), 1342-1353;89;2005;16784963440860832864;Wp0gIr-vW9MC;2eOI0ncAAAAJ
5;Effects of estradiol-17β and progesterone supplementation on in vitro nuclear maturation of canine oocytes;MK Kim, YH Fibrianto, HJ Oh, G Jang, HJ Kim, KS Lee, SK Kang, BC Lee, ...;Theriogenology;63 (5), 1342-1353;89;2005;16784963440860832864;4TOpqqG69KYC;2eOI0ncAAAAJ
6;Effect of beta-mercaptoethanol or epidermal growth factor supplementation on in vitro maturation of canine oocytes collected from dogs with different stages of the estrus cycle;MK Kim, YH Fibrianto, HJ Oh, G Jang, HJ Kim, KS Lee, SK Kang, BC Lee, ...;Journal of veterinary science;5 (3), 253-258;75;2004;4842528742911117724;KlAtU1dfN6UC;2eOI0ncAAAAJ
7;Glutathione content of in vivo and in vitro matured canine oocytes collected from different reproductive stages;MK Kim, MS Hossein, HJ Oh, HY Fibrianto, G Jang, HJ Kim, SG Hong, ...;Journal of Veterinary Medical Science;69 (6), 627-632;37;2007;3996506605068606917;kNdYIx-mwKoC;2eOI0ncAAAAJ
8;Improvement of canine somatic cell nuclear transfer procedure;G Jang, HJ Oh, MK Kim, YH Fibrianto, MS Hossein, HJ Kim, JJ Kim, ...;Theriogenology;69 (2), 146-154;36;2008;4058806963872340887;R3hNpaxXUhUC;2eOI0ncAAAAJ
9;Effects of canine serum collected from dogs at different estrous cycle stages on in vitro nuclear maturation of canine oocytes;HJ Oh, YH Fibrianto, MK Kim, G Jang, MS Hossein, HJ Kim, SK Kang, ...;Zygote;13 (3), 227-232;27;2005;9528923754831850573;YOwf2qJgpHMC;2eOI0ncAAAAJ
10;Influence of season and parity on the recovery of in vivo canine oocytes by flushing fallopian tubes;MS Hossein, MK Kim, G Jang, HY Fibrianto, HJ Oh, HJ Kim, SK Kang, ...;Animal reproduction science;99 (3-4), 330-341;23;2007;347001471696340475;3fE2CSJIrl8C;2eOI0ncAAAAJ
11;Human umbilical mesenchymal stem cells conditioned medium promote primary wound healing regeneration;DL Kusindarta, H Wihadmadyatami, YH Fibrianto, WS Nugroho, ...;Veterinary world;9 (6), 605;16;2016;12174743341519857087;Tyk-4Ss8FVUC;2eOI0ncAAAAJ
12;Mesenchymal stem cell-conditioned medium promote the recovery of skin burn wound;I Padeta, WS Nugroho, DL Kusindarta, YH Fibrianto, T Budipitojo;Asian Journal of Animal and Veterinary Advances;12 (3), 132-141;8;2017;10902860727349247552;JV2RwH3_ST0C;2eOI0ncAAAAJ
13;The structural and functional recovery of pancreatic β-cells in type 1 diabetes mellitus induced mesenchymal stem cell-conditioned medium;WS Nugroho, DL Kusindarta, H Susetya, I Fitriana, GT Mulyani, ...;Veterinary world;9 (5), 535;8;2016;8039192086023860755;IjCSPb-OGe4C;2eOI0ncAAAAJ
14;A surgical method for collecting canine oocytes of in vivo matured from uterine tube;MK Kim, HJ Oh, YH Fibrianto, G Jang, HJ Kim, KN Lee, SK Kang, BC Lee, ...;Korean Journal of Embryo Transfer;;7;2004;3942137425356591254;TQgYirikUcIC;2eOI0ncAAAAJ
15;The types of endocrine cells in the pancreas of Sunda porcupine (Hystrix javanica);T Budipitojo, YH Fibrianto, GT Mulyani;Veterinary world;9 (6), 563;4;2016;12858141481909928514;W7OEmFMy1HYC;2eOI0ncAAAAJ
16;Morphological assessment of ovulated and in vitro immature canine oocytes and biological availability according to the size at different reproductive stages;MS Hossein, MK Kim, G Jang, YH Fibrianto, HJ Oh, HJ Kim, JJ Kim, ...;Reproductive & developmental biology;30 (2), 99-105;3;2006;7643124154698050231;ULOm3_A8WrAC;2eOI0ncAAAAJ
