no;title;author;journal;number;cites;year;cid;pubid;id
1;Actor-centred power: The driving force in decentralised community based forest governance;M Krott, A Bader, C Schusser, R Devkota, A Maryudi, L Giessen, ...;Forest Policy and Economics;49, 34-42;160;2014;3064763352887041140,17589206949821296964;u5HHmVD_uO8C;fgmnIhkAAAAJ
2;Back to basics: Considerations in evaluating the outcomes of community forestry;A Maryudi, RR Devkota, C Schusser, C Yufanyi, M Salla, H Aurenhammer, ...;Forest Policy and Economics;14 (1), 1-5;105;2012;2699949050594632059;TQgYirikUcIC;fgmnIhkAAAAJ
3;Decentralisation Policy as Recentralisation Strategy: Forest Management Units and Community Forestry in Indonesia;MAK Sahide, S Supratman, A Maryudi, YS Kim, L Giessen;International Forestry Review;18 (1), 78-95;56;2016;3707678481449893488;j3f4tGmQtD8C;fgmnIhkAAAAJ
4;Powerful stakeholders as drivers of community forestry—Results of an international study;C Schusser, M Krott, MCY Movuh, J Logmani, RR Devkota, A Maryudi, ...;Forest Policy and Economics;58, 92-101;52;2015;1196869816966502864;mB3voiENLucC;fgmnIhkAAAAJ
5;The contesting aspirations in the forests: Actors, interests and power in community forestry in Java, Indonesia;A Maryudi;Actors Interests and Power in Community Forestry in Java, Indonesia …;;42;2011;10191012168275825108,442129532173530550;IjCSPb-OGe4C;fgmnIhkAAAAJ
6;Examination of the influences of global forest governance arrangements at the domestic level;S Bernstein, B Cashore, REA Atyi, A Maryudi, K McGinley, T Cadman, ...;IUFRO World Series;28, 111-135;40;2010;12505782863109569137,15121974736778929923,2374090798386462481;7PzlFSSx8tAC;fgmnIhkAAAAJ
7;Comparing community forestry actors in Cameroon, Indonesia, Namibia, Nepal and Germany;C Schusser, M Krott, MCY Movuh, J Logmani, RR Devkota, A Maryudi, ...;Forest Policy and Economics;68, 81-87;33;2016;9508641290997017227;r0BpntZqJG4C;fgmnIhkAAAAJ
8;Conversion of forests into oil palm plantations in West Kalimantan, Indonesia: Insights from actors' power and its dynamics;D Prabowo, A Maryudi, Senawi, MA Imron;Forest Policy and Economics;78, 32-39;32;2017;7328175409277600060,4536085231513121898;ZHo1McVdvXMC;fgmnIhkAAAAJ
9;The Ability of Institutions to Address New Challenges;B Cashore, G Galloway, F Cubbage, D Humphreys, P Katila, K Levin, ...;World Forests, Society and Environment, International Union of Forest …;;31;2010;3495174381406901669,1742143139371656464;VaXvl8Fpj5cC;fgmnIhkAAAAJ
10;Is Indonesia utilising its international partners? The driving forces behind Forest Management Units;MAK Sahide, A Maryudi, S Supratman, L Giessen;Forest Policy and Economics;69, 11-20;30;2016;8882062723381608208;iH-uZ7U-co4C;fgmnIhkAAAAJ
11;Opposing interests in the legalization of non-procedural forest conversion to oil palm in Central Kalimantan, Indonesia;EN Setiawan, A Maryudi, RH Purwanto, G Lele;Land Use Policy;58, 472-481;29;2016;13738132808329063999;NaGl4SEjCO4C;fgmnIhkAAAAJ
12;Choosing timber legality verification as a policy instrument to combat illegal logging in Indonesia;A Maryudi;Forest Policy and Economics;68, 99-104;29;2016;1982346169917647308;e5wmG9Sq2KIC;fgmnIhkAAAAJ
13;Sequence design of quantitative and qualitative surveys for increasing efficiency in forest policy research;C Schusser, M Krott, R Devkota, A Maryudi, M Salla, MC Yufanyi Movuh;Allgemeine Forest und Jagdzeitung (AFJZ);183 (3/4), 75-83;29;2012;9684719281303145607;2osOgNQ5qMEC;fgmnIhkAAAAJ
14;The emerging power of peasant farmers in the tenurial conflicts over the uses of state forestland in Central Java, Indonesia;A Maryudi, ER Citraningtyas, RH Purwanto, R Sadono, P Suryanto, ...;Forest Policy and Economics;67, 70-75;28;2016;3960480205383908877;ufrVoPGSRksC;fgmnIhkAAAAJ
15;Poverty alleviation efforts through a community forestry program in Java, Indonesia;A Maryudi, M Krott;Journal of Sustainable Development;5 (2), 43-53;28;2012;2842310070635133256;qjMakFHDy7sC;fgmnIhkAAAAJ
16;Enhancing the application of Krott et al.'s (2014) Actor-Centred Power (ACP): The importance of understanding the effect of changes in polity for the measurement of power …;D Prabowo, A Maryudi, Senawi, MA Imron;Forest Policy and Economics;62, 184-186;25;2016;10773450904800674358,9135681262656606088;YOwf2qJgpHMC;fgmnIhkAAAAJ
17;Complex regulatory frameworks governing private smallholder tree plantations in Gunungkidul District, Indonesia;A Maryudi, AA Nawir, DB Permadi, RH Purwanto, D Pratiwi, A Syofi'i, ...;Forest Policy and Economics;59, 1-6;25;2015;14895686776146168670;YsMSGLbcyi4C;fgmnIhkAAAAJ
18;Research trend: Power analyses in polycentric and multi-level forest governance;A Maryudi, MAK Sahide;Forest Policy and Economics;81 (C), 65-68;24;2017;208669400671149714,9468149900062568764;D03iK_w7-QYC;fgmnIhkAAAAJ
19;Development narratives, notions of forest crisis, and boom of oil palm plantations in Indonesia;A Susanti, A Maryudi;Forest Policy and Economics;73, 130-139;24;2016;14541032783433163052;RYcK_YlVTxYC;fgmnIhkAAAAJ
20;Local struggle for accessing state forest property in a montane forest village in Java, Indonesia;A Maryudi, M Krott;Journal of Sustainable Development;5 (7), 62-68;21;2012;6021861909813527569;Tyk-4Ss8FVUC;fgmnIhkAAAAJ
21;The political economy of forest land-use, the timber sector, and forest certification;A Maryudi;The Context of Natural Forest Management and FSC Certification in Indonesia …;;19;2015;18426840791608450197;hFOr9nPyWt4C;fgmnIhkAAAAJ
22;Community forestry in Asia and the Pacific: Pathway to inclusive development;T Sikor, D Gritten, J Atkinson, B Huy, GR Dahal, K Duangsathaporn, ...;RECOFTC - The Center for People and Forests;;18;2013;12076056737387964349;u_35RYKgDlwC;fgmnIhkAAAAJ
23;Restoring state control over forest resources through administrative procedures: Evidence from a community forestry programme in Central Java, Indonesia;A Maryudi;ASEAS-Österreichische Zeitschrift für Südostasienwissenschaften;5 (2), 229-242;17;2012;13641483017463509023;W7OEmFMy1HYC;fgmnIhkAAAAJ
24;Research trend: Forest policy and governance–Future analyses in multiple social science disciplines;A Maryudi, DR Nurrochmat, L Giessen;Forest Policy and Economics;91, 1-4;16;2018;10956079748073768277;_axFR9aDTf0C;fgmnIhkAAAAJ
25;Shifting contestation into cooperation: Strategy to incorporate different interest of actors in medicinal plants in Meru Betiri National Park, Indonesia;DR Nurrochmat, IA Nugroho, Hardjanto, A Purwadianto, A Maryudi, ...;Forest Policy and Economics;83, 162-168;16;2017;14417408668897919305,8928035345218825736;NhqRSupF_l8C;fgmnIhkAAAAJ
26;Claiming the forest: Inclusions and exclusions under Indonesia's ‘new’ forest policies on customary forests;R Myers, D Intarini, MT Sirait, A Maryudi;Land Use Policy;66, 205-213;16;2017;17570460817455461033;a0OBvERweLwC;fgmnIhkAAAAJ
27;Beberapa kendala bagi sertifikasi hutan rakyat;A Maryudi;Jurnal Hutan Rakyat;7 (3), 25-36;15;2005;9013235358708685243;zYLM7Y9cAGgC;fgmnIhkAAAAJ
28;Forest Certification for Community-based Forest Management in Indonesia: Does LEI provide a credible option?;A Maryudi;https://pub.iges.or.jp/pub/forest-certification-community-based-forest;56;12;2009;13582471024479429920;9c2xU6iGI7YC;fgmnIhkAAAAJ
29;How Are Local People Driving and Affected by Forest Cover Change? Opportunities for Local Participation in REDD+ Measurement, Reporting and Verification;IW Bong, ME Felker, A Maryudi;Plos One;11 (11), 1-17;11;2016;7643804908640896493;g5m5HwL7SMYC;fgmnIhkAAAAJ
30;Forest and society: initiating a southeast asia journal for theoretical, empirical, and regional scholarship;M Fisher, A Maryudi, MAK Sahide;Forest and Society;1 (1), 1-7;10;2017;7121450823623897255;cFHS6HbyZ2cC;fgmnIhkAAAAJ
31;Forests and sustainability;D Davenport, J Bulkan, R Hajjar, P Hardcastle, S Assembe-Mvondo, ...;IUFRO World Series;28, 75-91;10;2010;12321772522363822896,402452183676950825,12579563690702438855;Y0pCki6q_DkC;fgmnIhkAAAAJ
32;Arahan Tata Hubungan Kelembagaan Kesatuan Pengelolaan Hutan (KPH) di Indonesia;A Maryudi;;;9;2016;15740711452553156200;RGFaLdJalmkC;fgmnIhkAAAAJ
33;Deadlock opportunism in contesting conservation areas in Indonesia;MAK Sahide, MR Fisher, A Maryudi, A Dhiaulhaq, C Wulandari, YS Kim, ...;Land use policy;77, 412-424;7;2018;254033499353421167;2VqYfGB8ITEC;fgmnIhkAAAAJ
34;Smallholder farmers’ knowledge of regulations governing the sale of timber and supply chains in Gunungkidul District, Indonesia;A Maryudi, AA Nawir, DA Sekartaji, P Sumardamto, RH Purwanto, ...;Small-scale forestry;16 (1), 119-131;6;2017;14743534616075652924;GnPB-g6toBAC;fgmnIhkAAAAJ
35;What do forest audits say? The Indonesian mandatory forest certification;A Maryudi, H Kurniawan, BD Siswoko, W Andayani, B Murdawa;International Forestry Review;19 (2), 170-179;6;2017;2547667176594428;f2IySw72cVMC;fgmnIhkAAAAJ
