no;title;author;journal;number;cites;year;cid;pubid;id
1;Alterations in retinal microvascular geometry in young type 1 diabetes;MB Sasongko, JJ Wang, KC Donaghue, N Cheung, P Benitez-Aguirre, ...;Diabetes care;33 (6), 1331-1336;110;2010;32549431913906411;u5HHmVD_uO8C;8TaXueIAAAAJ
2;Differential association of serum lipids with diabetic retinopathy and diabetic macular edema;R Benarous, MB Sasongko, S Qureshi, E Fenwick, M Dirani, TY Wong, ...;Investigative ophthalmology & visual science;52 (10), 7464-7469;108;2011;965638910615869840;u-x6o8ySG0sC;8TaXueIAAAAJ
3;Serum apolipoprotein AI and B are stronger biomarkers of diabetic retinopathy than traditional lipids;MB Sasongko, TY Wong, TT Nguyen, R Kawasaki, A Jenkins, J Shaw, ...;Diabetes care;34 (2), 474-479;91;2011;7381718606060845581;d1gkVwhDpl0C;8TaXueIAAAAJ
4;Retinal vascular tortuosity in persons with diabetes and diabetic retinopathy;MB Sasongko, TY Wong, TT Nguyen, CY Cheung, JE Shaw, JJ Wang;Diabetologia;54 (9), 2409-2416;78;2011;6132789057587211554;qjMakFHDy7sC;8TaXueIAAAAJ
5;Retinal vascular geometry predicts incident retinopathy in young people with type 1 diabetes: a prospective cohort study from adolescence;P Benitez-Aguirre, ME Craig, MB Sasongko, AJ Jenkins, TY Wong, ...;Diabetes care;34 (7), 1622-1627;65;2011;15316461622230598568;9yKSN-GCB0IC;8TaXueIAAAAJ
6;Retinal arteriolar tortuosity is associated with retinopathy and early kidney dysfunction in type 1 diabetes;MB Sasongko, TY Wong, KC Donaghue, N Cheung, AJ Jenkins, ...;American journal of ophthalmology;153 (1), 176-183. e1;58;2012;12386553762061967981;UeHWp8X0CEIC;8TaXueIAAAAJ
7;Retinal vascular geometry in Asian persons with diabetes and retinopathy;CY Cheung, E Lamoureux, MK Ikram, MB Sasongko, J Ding, Y Zheng, ...;Journal of diabetes science and technology;6 (3), 595-605;50;2012;2566417964437672525;Y0pCki6q_DkC;8TaXueIAAAAJ
8;Systemic associations of dynamic retinal vessel analysis: a review of current literature;M Lim, MB Sasongko, MK Ikram, E Lamoureux, JJ Wang, TY Wong, ...;Microcirculation;20 (3), 257-268;44;2013;12352849752085852475;eQOLeE2rZwMC;8TaXueIAAAAJ
9;Circulating markers of inflammation and endothelial function, and their relationship to diabetic retinopathy;MB Sasongko, TY Wong, AJ Jenkins, TT Nguyen, JE Shaw, JJ Wang;Diabetic Medicine;32 (5), 686-691;38;2015;2998472602369798066;Se3iqnhoufwC;8TaXueIAAAAJ
10;Retinal arteriolar changes: intermediate pathways linking early life exposures to cardiovascular disease?;MB Sasongko, TY Wong, JJ Wang;Microcirculation;17 (1), 21-31;38;2010;12940260352227014490;2osOgNQ5qMEC;8TaXueIAAAAJ
11;Longer axial length is protective of diabetic retinopathy and macular edema;REK Man, MB Sasongko, S Sanmugasundram, T Nicolaou, X Jing, ...;Ophthalmology;119 (9), 1754-1759;37;2012;13087054114994412157;Tyk-4Ss8FVUC;8TaXueIAAAAJ
12;Does retinal vascular geometry vary with cardiac cycle?;HAO Hao, MB Sasongko, TY Wong, MZC Azemin, B Aliahmad, ...;Investigative ophthalmology & visual science;53 (9), 5799-5805;36;2012;9624045953309711693;IjCSPb-OGe4C;8TaXueIAAAAJ
13;Novel versus traditional risk markers for diabetic retinopathy;MB Sasongko, TY Wong, TT Nguyen, JE Shaw, AJ Jenkins, JJ Wang;Diabetologia;55 (3), 666-670;32;2012;14444373148001038539;zYLM7Y9cAGgC;8TaXueIAAAAJ
